Time,Event_Key,Data1,Data2
810,1,888,26
16159,1,62,535
22997,1,41,547
27053,1,37,545
35136,1,40,549
36800,1,44,547
38365,1,67,567
41136,1,677,544
43279,1,45,548
45691,1,39,627
47385,1,58,644
50904,1,61,644
55618,1,675,529
57861,1,692,589
66004,1,711,704
67400,1,736,719
68686,1,760,739
70430,1,719,707
71287,1,698,597
79829,1,674,737
82421,1,680,732
82870,1,673,721
84275,1,673,721
86298,1,673,659
87694,1,698,626
92508,1,699,593
108253,1,597,214
109101,1,612,215
110057,1,536,236
118030,1,573,232
118927,1,607,233
119853,1,597,235
120900,1,569,216
123581,1,568,238
130837,1,60,674
133687,1,698,590
135242,1,677,529
136438,1,679,547
140385,1,698,563
170185,1,60,643
174889,1,60,643
177400,1,593,250
178487,1,609,249
179493,1,517,275
186230,1,60,660
189489,1,697,657
192539,1,537,266
193785,1,609,267
194831,1,506,323
204468,1,39,805
208086,1,677,737
213917,1,671,530
216598,1,697,626
218771,1,675,656
223166,1,692,625
224581,1,696,624
226047,1,692,548
227472,1,694,545
228519,1,678,531
232206,1,696,623
234997,1,719,688
236442,1,699,623
238206,1,696,655
239482,1,716,667
241197,1,677,593
241805,1,676,594
248443,1,388,750
254542,1,530,285
256107,1,609,286
257074,1,512,228
259117,1,1267,187
274338,1,679,594
275673,1,675,546
286817,1,517,193
288342,1,610,195
289169,1,528,218
297970,1,569,209
299506,1,610,210
300293,1,516,240
308715,1,41,524
310220,1,36,576
311924,1,35,611
312752,1,40,614
315383,1,675,545
316420,1,675,530
321054,1,42,550
322260,1,42,550
325679,1,589,226
326526,1,609,233
327254,1,525,255
331919,1,43,550
340371,1,593,248
341278,1,608,247
342305,1,519,304
349113,1,43,547
350259,1,43,614
353160,1,60,709
360126,1,678,526
361681,1,676,593
364123,1,698,626
368848,1,698,626
371778,1,693,652
375308,1,580,267
376324,1,607,266
377162,1,524,317
388235,1,598,281
389421,1,609,283
390239,1,530,334
397445,1,40,598
399728,1,675,578
407622,1,1270,194
409735,1,447,214
411858,1,611,213
412905,1,503,236
418527,1,42,643
420590,1,40,598
423591,1,41,547
424398,1,41,547
426153,1,40,577
431625,1,677,574
432980,1,673,592
433977,1,675,544
449288,1,588,230
450314,1,609,233
450932,1,521,258
454790,1,41,579
455677,1,38,609
461338,1,678,545
462744,1,675,598
471715,1,695,624
475951,1,695,624
477326,1,599,243
479580,1,549,249
480796,1,542,233
482241,1,520,248
483148,1,609,249
484145,1,543,296
484972,1,488,232
486736,1,489,217
488830,1,489,230
490365,1,462,264
505017,1,610,267
505844,1,531,321
507947,1,1266,286
508785,1,1266,286
509024,1,1266,286
509213,1,1266,286
509393,1,1266,286
509592,1,1266,286
510908,1,1268,184
519400,1,677,544
522620,1,569,251
524125,1,610,249
525182,1,519,304
527434,1,41,611
528660,1,672,544
529797,1,678,593
533236,1,1268,197
535608,1,173,218
542306,1,155,237
553818,1,1264,202
563387,1,165,234
572199,1,42,581
573116,1,40,581
574910,1,1267,207
584090,1,1269,201
587948,1,292,309
589224,1,293,258
590490,1,91,269
609279,1,100,284
619685,1,38,544
624859,1,43,548
626673,1,1269,200
