Time,L_ScreenX,L_ScreenY,L_CamX,L_CamY,L_Distance,L_Pupil,L_Code,R_ScreenX,R_ScreenY,R_CamX,R_CamY,R_Distance,R_Pupil,R_Code,Duration,ScreenX,ScreenY
58,856,62,0.7440000000000001,0.621,743.0880000000001,3.031,0,857,50,0.517,0.626,741.763,3.06,0,180,690,585
257,50,486,0.73,0.596,733.578,3.0589999999999997,0,57,485,0.502,0.594,719.6260000000001,3.155,0,359,702,490
735,24,521,0.7440000000000001,0.5529999999999999,736.2560000000001,3.21,0,47,536,0.515,0.5539999999999999,719.8480000000001,3.2939999999999996,0,180,751,144
955,1087,371,0.723,0.562,738.618,3.1319999999999997,0,1101,395,0.494,0.5710000000000001,725.332,3.168,0,259,860,60
1234,43,523,0.757,0.585,737.1039999999999,3.1060000000000003,0,74,529,0.529,0.583,721.799,3.19,0,319,547,251
1573,712,538,0.7190000000000001,0.588,720.1510000000001,3.022,0,737,569,0.489,0.598,716.1260000000001,3.114,0,100,480,213
2131,60,542,0.7340000000000001,0.595,731.446,3.142,0,68,529,0.504,0.6,720.2289999999999,3.1289999999999996,0,100,221,453
2271,43,605,0.7490000000000001,0.601,730.315,3.26,0,52,606,0.518,0.601,716.2760000000001,3.375,0,199,63,502
2670,95,567,0.7559999999999999,0.611,728.797,3.187,0,88,543,0.525,0.609,717.669,3.135,0,518,239,222
3208,769,617,0.6920000000000001,0.61,717.355,3.083,0,780,632,0.461,0.628,717.796,3.208,0,399,81,206
3626,750,596,0.682,0.616,713.154,3.08,0,753,562,0.45,0.636,716.052,3.1210000000000004,0,160,255,224
3826,712,526,0.684,0.616,710.0060000000001,3.013,0,726,504,0.452,0.635,712.857,3.051,0,259,78,506
4105,689,717,0.687,0.623,709.61,2.985,0,690,672,0.455,0.6409999999999999,714.243,3.145,0,299,69,504
4504,712,603,0.675,0.616,710.305,3.0780000000000003,0,737,583,0.442,0.637,712.285,3.142,0,140,722,545
4703,755,641,0.67,0.615,706.93,3.093,0,757,626,0.43700000000000006,0.636,711.627,3.263,0,199,697,512
4982,66,589,0.741,0.61,739.449,3.111,0,64,581,0.514,0.606,726.6669999999999,3.19,0,100,109,512
5122,79,515,0.711,0.606,734.071,3.11,0,95,477,0.48200000000000004,0.611,724.465,3.195,0,319,58,504
5461,601,202,0.7090000000000001,0.593,723.9830000000001,3.0589999999999997,0,571,182,0.47700000000000004,0.603,719.988,3.148,0,120,19,491
5640,686,521,0.7,0.601,716.567,3.0439999999999996,0,701,514,0.46799999999999997,0.616,713.27,3.1839999999999997,0,279,164,230
5999,595,234,0.713,0.591,723.737,3.1519999999999997,0,580,209,0.48200000000000004,0.603,722.4860000000001,3.285,0,399,261,281
6597,126,709,0.715,0.593,724.437,3.3080000000000003,0,106,670,0.483,0.599,716.8919999999999,3.3139999999999996,0,139,1228,258
6757,716,548,0.6759999999999999,0.5920000000000001,710.528,3.15,0,698,531,0.444,0.612,715.053,3.22,0,120,1270,188
6996,702,527,0.695,0.596,714.487,3.04,0,762,529,0.46399999999999997,0.609,716.0989999999999,3.085,0,239,215,251
7255,111,673,0.6940000000000001,0.607,728.61,3.179,0,126,668,0.465,0.616,717.725,3.2,0,459,259,277
7734,77,666,0.721,0.5870000000000001,727.806,3.1830000000000003,0,95,653,0.489,0.5920000000000001,717.574,3.2880000000000003,0,359,122,333
8112,737,570,0.696,0.596,716.172,2.991,0,751,566,0.465,0.61,720.8489999999999,3.036,0,159,90,244
8312,709,614,0.6970000000000001,0.612,725.3430000000001,3.137,0,710,602,0.469,0.626,723.692,3.127,0,159,234,280
8491,125,613,0.718,0.611,733.2360000000001,3.088,0,150,636,0.489,0.617,730.658,3.283,0,199,81,254
8890,588,235,0.6970000000000001,0.59,730.2639999999999,2.975,0,600,216,0.466,0.604,727.961,3.0660000000000003,0,937,244,224
9847,101,713,0.7020000000000001,0.606,730.8989999999999,3.193,0,128,696,0.47200000000000003,0.618,723.283,3.3289999999999997,0,419,86,247
10286,110,819,0.74,0.617,729.308,3.449,0,107,808,0.51,0.618,719.7719999999999,3.469,0,379,72,195
10684,758,537,0.684,0.612,718.829,3.008,0,736,536,0.455,0.631,722.555,3.1519999999999997,0,419,45,508
11183,689,615,0.67,0.611,716.487,3.015,0,702,616,0.44,0.632,713.6439999999999,3.112,0,219,699,507
11442,680,518,0.6859999999999999,0.611,717.1080000000001,3.02,0,672,501,0.455,0.628,716.11,3.02,0,279,708,504
11920,816,633,0.6729999999999999,0.616,716.817,3.069,0,819,649,0.442,0.635,719.72,3.072,0,120,70,506
12060,762,728,0.67,0.618,714.743,3.092,0,1488,-2535,0.44299999999999995,0.66,715.966,3.1,0,339,69,509
12499,73,802,0.748,0.632,731.914,3.315,0,32,775,0.519,0.625,722.1210000000001,3.38,0,199,708,516
12818,604,265,0.6970000000000001,0.606,725.2639999999999,3.089,0,600,293,0.466,0.615,717.324,3.123,0,259,93,526
13097,259,197,0.711,0.602,734.055,3.322,0,254,201,0.48,0.607,725.6510000000001,3.409,0,299,65,537
13974,754,587,0.6609999999999999,0.615,716.6519999999999,3.17,0,763,609,0.431,0.637,718.197,3.2289999999999996,0,100,75,494
14094,737,595,0.662,0.614,718.875,3.077,0,754,613,0.43200000000000005,0.635,718.5310000000001,3.153,0,359,76,533
14672,722,537,0.691,0.606,724.653,3.136,0,738,543,0.461,0.617,724.047,3.108,0,279,54,522
14971,569,235,0.722,0.59,730.558,3.102,0,575,219,0.49200000000000005,0.598,724.0880000000001,3.1519999999999997,0,279,55,537
15370,100,797,0.657,0.544,721.3480000000001,3.307,0,104,789,0.425,0.532,710.051,3.3789999999999996,0,140,57,540
15529,16,543,0.6920000000000001,0.5870000000000001,726.212,3.302,0,39,530,0.461,0.5760000000000001,710.086,3.3310000000000004,0,120,38,502
15669,11,612,0.6809999999999999,0.594,724.357,3.3339999999999996,0,33,604,0.45,0.5820000000000001,707.8380000000001,3.43,0,479,53,527
16267,382,268,0.675,0.583,719.4169999999999,3.095,0,394,215,0.441,0.581,714.2439999999999,3.1060000000000003,0,499,66,518
16805,714,583,0.639,0.585,705.93,3.094,0,740,554,0.40399999999999997,0.59,699.38,3.063,0,100,61,549
16985,754,561,0.638,0.581,700.842,2.9739999999999998,0,749,567,0.401,0.589,701.669,3.1210000000000004,0,120,587,554
17164,510,300,0.65,0.573,709.453,3.07,0,498,270,0.413,0.579,702.873,3.13,0,139,619,345
17363,54,534,0.674,0.581,718.8389999999999,3.065,0,75,534,0.43799999999999994,0.5770000000000001,704.582,3.197,0,479,661,340
17862,712,688,0.629,0.595,701.262,3.049,0,730,685,0.39299999999999996,0.606,701.617,3.045,0,140,697,353
18061,689,537,0.6409999999999999,0.593,700.78,3.0660000000000003,0,687,500,0.40399999999999997,0.603,701.4889999999999,3.1519999999999997,0,100,599,234
18261,782,607,0.626,0.599,700.8660000000001,3.1519999999999997,0,795,602,0.389,0.611,699.064,3.1639999999999997,0,299,269,272
18659,763,615,0.647,0.602,698.2460000000001,3.022,0,796,655,0.41,0.611,700.2589999999999,3.1180000000000003,0,219,769,399
18958,66,273,0.679,0.585,724.242,3.137,0,85,245,0.44299999999999995,0.583,709.9639999999999,3.148,0,179,1096,384
19616,234,272,0.66,0.5920000000000001,716.802,3.0380000000000003,0,243,264,0.424,0.595,706.434,3.083,0,140,710,539
19796,720,562,0.644,0.597,703.1610000000001,2.917,0,722,565,0.408,0.6,696.66,3.013,0,299,363,371
20115,829,550,0.625,0.596,702.6289999999999,3.003,0,820,570,0.389,0.608,702.178,3.182,0,159,321,407
20294,60,580,0.6729999999999999,0.593,715.192,3.0980000000000003,0,70,556,0.436,0.591,701.159,3.117,0,439,89,433
20753,244,229,0.674,0.5710000000000001,718.765,3.208,0,257,233,0.43799999999999994,0.57,707.421,3.225,0,279,162,411
21072,61,582,0.715,0.6,718.638,3.332,0,82,582,0.484,0.586,699.564,3.397,0,638,58,549
21750,694,533,0.634,0.585,696.051,3.1039999999999996,0,688,540,0.396,0.601,693.67,3.159,0,937,43,530
22707,240,241,0.6729999999999999,0.5720000000000001,727.172,3.14,0,250,225,0.44,0.5670000000000001,713.956,3.202,0,219,77,542
22946,111,760,0.742,0.5870000000000001,723.574,3.359,0,121,758,0.51,0.585,710.31,3.3789999999999996,0,399,76,526
23384,811,645,0.6679999999999999,0.599,715.1410000000001,2.987,0,813,641,0.436,0.617,712.837,3.056,0,199,362,939
23803,415,699,0.6709999999999999,0.609,715.803,3.028,0,423,711,0.43799999999999994,0.626,710.41,3.1060000000000003,0,140,391,448
23983,461,253,0.684,0.5870000000000001,719.3760000000001,3.07,0,470,220,0.451,0.603,716.7230000000001,3.091,0,140,53,541
24202,599,263,0.64,0.595,723.7710000000001,3.2039999999999997,0,608,237,0.408,0.613,716.742,3.195,0,120,73,525
24342,197,214,0.684,0.596,722.102,3.1519999999999997,0,213,212,0.451,0.599,714.9010000000001,3.1710000000000003,0,100,84,539
24561,260,244,0.6709999999999999,0.589,723.97,3.1289999999999996,0,281,216,0.439,0.5920000000000001,712.8560000000001,3.176,0,578,63,523
25159,734,609,0.659,0.6,712.346,3.082,0,747,633,0.426,0.615,710.165,3.1039999999999996,0,897,35,525
26176,477,210,0.677,0.597,722.9010000000001,3.045,0,480,163,0.445,0.61,724.9889999999999,3.1239999999999997,0,140,39,601
26355,280,263,0.682,0.6,725.085,3.077,0,288,247,0.449,0.605,713.805,3.252,0,120,70,604
26634,13,545,0.722,0.609,729.301,3.265,0,28,506,0.489,0.605,716.8689999999999,3.372,0,419,34,529
27073,248,223,0.746,0.612,735.4860000000001,3.3489999999999998,0,279,222,0.518,0.612,725.174,3.4419999999999997,0,339,69,525
27611,239,226,0.726,0.618,737.8589999999999,3.267,0,261,227,0.498,0.619,725.801,3.319,0,139,705,534
27831,230,209,0.722,0.588,727.1160000000001,3.25,0,247,185,0.491,0.584,714.047,3.2910000000000004,0,179,726,508
28030,232,222,0.725,0.595,729.699,3.2510000000000003,0,253,235,0.495,0.588,714.298,3.342,0,578,721,516
28628,39,578,0.7340000000000001,0.615,723.09,3.208,0,57,571,0.502,0.61,710.262,3.3089999999999997,0,120,728,569
28768,715,348,0.701,0.606,723.4580000000001,3.1910000000000003,0,785,372,0.469,0.609,711.245,3.133,0,339,726,562
29127,42,317,0.76,0.634,749.291,3.403,0,86,295,0.536,0.625,728.908,3.464,0,339,727,533
29485,249,274,0.742,0.603,720.8589999999999,3.2289999999999996,0,255,250,0.509,0.593,706.316,3.298,0,518,730,511
30024,100,265,0.745,0.633,741.873,3.332,0,120,262,0.518,0.627,721.798,3.3710000000000004,0,1575,724,540
