No.,Time,L_ScreenX,L_ScreenY,L_CamX,L_CamY,L_Distance,L_Pupil,L_Code,R_ScreenX,R_ScreenY,R_CamX,R_CamY,R_Distance,R_Pupil,R_Code,Event_Key,Data1,Data2
250527,12566,1023,578,0.605,0.565,697.654,3.095,0,1013,603,0.368,0.602,694.38,3.242,0,1,259,888
290661,14579,74,660,0.774,0.594,697.8330000000001,3.136,0,98,651,0.535,0.591,683.7130000000001,3.23,0,1,178,857
331792,16642,171,794,0.71,0.611,713.852,3.182,0,180,806,0.47600000000000003,0.615,703.2310000000001,3.2960000000000003,0,1,108,573
372325,18675,226,478,0.732,0.591,714.5369999999999,3.088,0,258,465,0.499,0.586,702.966,3.213,0,1,108,575
553318,27753,786,750,0.604,0.59,692.299,3.035,0,781,741,0.365,0.612,693.6030000000001,3.125,0,1,906,939
595246,29856,880,720,0.602,0.604,687.4939999999999,3.176,0,867,714,0.36200000000000004,0.627,690.36,3.173,0,1,858,867
740092,37121,902,864,0.622,0.639,706.586,3.057,0,901,881,0.38799999999999996,0.667,708.199,3.182,0,1,832,617
770496,38646,1058,558,0.604,0.634,715.6569999999999,3.009,0,1078,560,0.373,0.6679999999999999,716.467,2.968,0,1,952,617
809634,40609,10,488,0.7490000000000001,0.645,726.664,3.333,0,47,498,0.52,0.634,709.665,3.404,0,1,929,629
841833,42224,270,872,0.784,0.885,703.957,3.233,0,270,866,0.556,0.8059999999999999,700.005,3.344,0,1,908,638
872636,43769,131,527,0.763,0.637,705.2189999999999,3.1839999999999997,0,155,506,0.528,0.628,689.939,3.353,0,1,886,640
941560,47226,187,618,0.722,0.645,695.221,3.154,0,210,650,0.48200000000000004,0.644,683.457,3.2739999999999996,0,1,168,629
1047867,52558,388,708,0.7490000000000001,0.637,692.927,3.31,0,387,740,0.51,0.639,680.945,3.347,0,1,183,630
1080265,54183,122,556,0.787,0.6729999999999999,701.3639999999999,3.178,0,138,548,0.5489999999999999,0.6629999999999999,690.183,3.409,0,1,188,634
1194128,59894,273,251,0.732,0.603,720.2660000000001,3.017,0,284,256,0.498,0.619,709.806,3.113,0,1,904,936
1371153,68773,1146,610,0.652,0.617,718.924,3.178,0,1147,601,0.41600000000000004,0.633,710.762,3.048,0,1,549,213
1399185,70179,507,636,0.667,0.62,703.24,2.9819999999999998,0,522,579,0.431,0.635,702.373,2.969,0,1,662,216
1417448,71095,733,476,0.665,0.627,708.0210000000001,2.9419999999999997,0,743,470,0.431,0.6409999999999999,704.795,3.009,0,1,569,275
1572422,78868,924,518,0.627,0.638,709.187,3.0060000000000002,0,922,505,0.395,0.667,713.569,3.0380000000000003,0,1,232,643
1622106,81360,974,660,0.608,0.643,701.168,3.075,0,970,675,0.376,0.6809999999999999,706.0210000000001,3.089,0,1,42,563
1649719,82745,1031,682,0.551,0.662,693.977,3.255,0,1015,735,0.321,0.7040000000000001,699.6,3.3110000000000004,0,1,26,502
1687281,84629,654,211,0.684,0.595,715.052,2.984,0,649,201,0.45,0.61,714.845,3.088,0,1,27,503
1711326,85835,944,405,0.609,0.623,711.467,2.969,0,932,427,0.375,0.652,709.799,2.972,0,1,82,644
1728612,86702,1107,474,0.579,0.636,716.209,3.162,0,1088,491,0.348,0.6709999999999999,716.5139999999999,3.123,0,1,81,643
1755248,88038,987,784,0.617,0.643,700.808,3.2889999999999997,0,983,769,0.382,0.6729999999999999,704.5060000000001,3.35,0,1,368,601
1781666,89363,56,227,0.695,0.623,722.567,3.088,0,77,210,0.45799999999999996,0.63,709.253,3.141,0,1,368,601
1802141,90390,613,211,0.6809999999999999,0.617,711.327,3.054,0,608,227,0.444,0.632,701.04,3.111,0,1,394,519
1837311,92154,150,259,0.6940000000000001,0.612,724.383,3.036,0,153,227,0.46,0.621,708.738,3.073,0,1,394,519
2050303,102837,853,477,0.606,0.639,690.575,3.0469999999999997,0,855,469,0.368,0.679,692.9989999999999,3.049,0,1,25,503
2078116,104232,872,800,0.637,0.654,679.57,3.072,0,878,822,0.395,0.6809999999999999,683.418,3.182,0,1,29,505
2131748,106922,494,203,0.682,0.614,709.7610000000001,3.0810000000000004,0,501,199,0.444,0.63,702.62,3.1689999999999996,0,1,35,632
2159780,108328,205,73,0.66,0.626,724.9,3.1439999999999997,0,223,27,0.423,0.648,711.8969999999999,3.0989999999999998,0,1,35,632
2181033,109394,70,969,0.718,0.644,711.31,3.3489999999999998,0,57,977,0.48100000000000004,0.6459999999999999,698.9730000000001,3.3539999999999996,0,1,72,611
2215206,111108,239,592,0.728,0.647,702.2660000000001,2.986,0,258,597,0.491,0.647,693.2,3.145,0,1,72,611
2237058,112204,125,571,0.742,0.652,707.2439999999999,3.248,0,122,526,0.504,0.647,694.197,3.33,0,1,114,601
2316110,116169,312,659,0.6729999999999999,0.65,684.8919999999999,3.136,0,331,671,0.431,0.645,678.5110000000001,3.241,0,1,114,601
2360850,118413,1069,457,0.568,0.625,705.505,3.177,0,1070,451,0.33,0.6509999999999999,703.828,3.165,0,1,130,551
2396777,120215,729,723,0.626,0.63,700.302,3.033,0,729,724,0.39299999999999996,0.6629999999999999,704.003,3.1069999999999998,0,1,89,643
2418030,121281,914,497,0.607,0.626,705.337,2.8960000000000004,0,919,486,0.375,0.664,709.4889999999999,2.945,0,1,134,680
2451007,122935,555,648,0.642,0.616,716.19,3.0060000000000002,0,562,614,0.41100000000000003,0.639,713.17,3.097,0,1,165,792
2514189,126104,488,934,0.643,0.631,688.948,3.253,0,488,907,0.401,0.626,682.637,3.37,0,1,168,781
2528703,126832,1008,721,0.61,0.611,698.48,3.435,0,988,706,0.374,0.6409999999999999,698.691,3.3339999999999996,0,1,128,681
2577769,129293,781,848,0.665,0.664,701.252,3.2760000000000002,0,806,858,0.428,0.688,703.337,3.264,0,1,398,516
2609968,130908,974,809,0.634,0.6890000000000001,687.98,3.321,0,978,771,0.395,0.715,692.554,3.071,0,1,365,656
2620296,131426,960,785,0.6629999999999999,0.679,697.753,3.089,0,954,799,0.426,0.7,701.72,3.3289999999999997,0,1,358,656
2669163,133877,971,836,0.645,0.695,705.7689999999999,3.175,0,989,762,0.41100000000000003,0.725,706.6489999999999,3.082,0,1,347,775
2688044,134824,398,709,0.754,0.6679999999999999,722.919,3.198,0,409,714,0.524,0.6809999999999999,712.523,3.2880000000000003,0,1,474,712
2941768,147550,273,245,0.6970000000000001,0.635,730.883,3.1689999999999996,0,316,250,0.467,0.655,723.122,3.177,0,1,379,725
